Target       | WPDP  | HDP-JC | HDP-Scipy | HDP-Scipy-IQR | N-50  | N-50-IQR | N-100 | N-100-IQR | N-150 | N-150-IQR | N-200 | N-200-IQR
ar3          | 0.574 | 0.823  | 0.842     | 0.0           | 0.746 | 0.133    | 0.825 | 0.075     | 0.771 | 0.19      | 0.83  | 0.011    
skarbonka    | 0.569 | 0.694  | 0.669     | 0.0           | 0.617 | 0.064    | 0.669 | 0.03      | 0.638 | 0.066     | 0.669 | 0.031    
poi-1.5      | 0.707 | 0.701  | 0.712     | 0.0           | 0.614 | 0.08     | 0.63  | 0.066     | 0.62  | 0.099     | 0.612 | 0.084    
arc          | 0.67  | 0.701  | 0.67      | 0.0           | 0.627 | 0.083    | 0.663 | 0.021     | 0.669 | 0.02      | 0.651 | 0.016    
velocity-1.4 | 0.725 | 0.391  | 0.432     | 0.0           | 0.458 | 0.042    | 0.451 | 0.038     | 0.451 | 0.017     | 0.451 | 0.0      
JDT          | 0.795 | 0.767  | 0.702     | 0.0           | 0.691 | 0.052    | 0.7   | 0.057     | 0.689 | 0.029     | 0.692 | 0.044    
LC           | 0.575 | 0.655  | 0.647     | 0.0           | 0.619 | 0.056    | 0.641 | 0.013     | 0.647 | 0.014     | 0.654 | 0.014    
zxing        | 0.605 | 0.65   | 0.624     | 0.0           | 0.607 | 0.032    | 0.615 | 0.026     | 0.621 | 0.018     | 0.618 | 0.022    
xalan-2.4    | 0.755 | 0.751  | 0.59      | 0.0           | 0.616 | 0.067    | 0.675 | 0.052     | 0.671 | 0.083     | 0.652 | 0.048    
redaktor     | 0.744 | 0.537  | 0.508     | 0.0           | 0.508 | 0.041    | 0.516 | 0.02      | 0.514 | 0.01      | 0.51  | 0.016    
cm1          | 0.653 | 0.717  | 0.633     | 0.0           | 0.619 | 0.023    | 0.632 | 0.012     | 0.633 | 0.005     | 0.633 | 0.0      
ar1          | 0.582 | 0.734  | 0.704     | 0.0           | 0.659 | 0.079    | 0.667 | 0.067     | 0.685 | 0.045     | 0.697 | 0.015    
camel-1.0    | 0.55  | 0.639  | 0.655     | 0.0           | 0.611 | 0.061    | 0.646 | 0.03      | 0.643 | 0.021     | 0.654 | 0.026    
ar4          | 0.657 | 0.816  | 0.798     | 0.0           | 0.667 | 0.139    | 0.783 | 0.029     | 0.786 | 0.032     | 0.796 | 0.019    
ar5          | 0.804 | 0.911  | 0.897     | 0.0           | 0.731 | 0.22     | 0.812 | 0.171     | 0.793 | 0.235     | 0.856 | 0.163    
ar6          | 0.654 | 0.64   | 0.626     | 0.0           | 0.537 | 0.025    | 0.551 | 0.048     | 0.551 | 0.032     | 0.61  | 0.02     
safe         | 0.706 | 0.818  | 0.772     | 0.0           | 0.707 | 0.104    | 0.748 | 0.064     | 0.714 | 0.059     | 0.75  | 0.056    
apache       | 0.714 | 0.717  | 0.71      | 0.0           | 0.663 | 0.02     | 0.71  | 0.035     | 0.71  | 0.04      | 0.669 | 0.056    
PDE          | 0.684 | 0.717  | 0.665     | 0.0           | 0.607 | 0.101    | 0.66  | 0.026     | 0.657 | 0.067     | 0.671 | 0.018    
EQ           | 0.583 | 0.783  | 0.716     | 0.0           | 0.735 | 0.067    | 0.722 | 0.046     | 0.741 | 0.024     | 0.737 | 0.023    
mw1          | 0.612 | 0.727  | 0.71      | 0.0           | 0.629 | 0.114    | 0.656 | 0.078     | 0.645 | 0.093     | 0.677 | 0.047    
tomcat       | 0.778 | 0.818  | 0.716     | 0.0           | 0.635 | 0.119    | 0.685 | 0.084     | 0.716 | 0.074     | 0.757 | 0.037    
ML           | 0.734 | 0.692  | 0.635     | 0.0           | 0.635 | 0.042    | 0.653 | 0.033     | 0.643 | 0.024     | 0.641 | 0.033    
pc1          | 0.787 | 0.752  | 0.671     | 0.0           | 0.656 | 0.028    | 0.669 | 0.01      | 0.671 | 0.0       | 0.671 | 0.006    
pc4          | 0.9   | 0.682  | 0.694     | 0.0           | 0.611 | 0.111    | 0.608 | 0.105     | 0.628 | 0.078     | 0.694 | 0.021    
ant-1.3      | 0.609 | 0.835  | 0.726     | 0.0           | 0.671 | 0.032    | 0.685 | 0.053     | 0.703 | 0.045     | 0.689 | 0.029    
pc3          | 0.794 | 0.738  | 0.496     | 0.0           | 0.631 | 0.051    | 0.654 | 0.055     | 0.651 | 0.05      | 0.642 | 0.04     
xerces-1.2   | 0.624 | 0.489  | 0.489     | 0.0           | 0.489 | 0.009    | 0.486 | 0.009     | 0.486 | 0.007     | 0.489 | 0.009    
